jalan_original,jalan_clean,image_name,latitude,longitude,inside_study_area,dist_outside_boundary_m,dist_to_functional_centre_m,green_view_index,sky_visibility_index,building_dominance_index,road_hardscape_index,street_enclosure_index,openness_index,visual_diversity_index,walkability_visual_index,view_quality_score,key_view_candidate_score,final_top_view_score
Jalan Berhala,Jalan Berhala,1686737604860611.jpg,3.1286540924568,101.6857311472,True,0.0,202.36478326997408,0.4144315441743826,0.1592892795138888,0.1969501109182098,0.2057403790509259,0.4013794246720679,0.2836187427662037,0.6309684809487813,0.3825385802469135,0.254580751019632,0.7033350281217206,0.7810324831966629
Jalan Berhala,Jalan Berhala,772051373450724.jpg,3.1285142457982,101.68554966015,True,0.0,197.61422490502926,0.4201422646604938,0.0810157455632716,0.1525825858410494,0.3218341290509259,0.3623854648919753,0.2070584249614197,0.54216390910644,0.3633041389371142,0.2098775411306265,0.7601106536475837,0.7497190740508366
Jalan Chan Ah Tong,Jalan Chan Ah Tong,216354356665885.jpg,3.1284119188686,101.68543944606,True,0.0,197.76354227520804,0.3321384307484568,0.0757637683256172,0.2278416763117284,0.3344649402006173,0.3939108916859568,0.1754052975501543,0.6950613082233562,0.3298396387924382,0.1980300903307256,0.7699602729733095,0.691297433699232
Jalan Chan Ah Tong,Jalan Chan Ah Tong,180550900602952.jpg,3.1285663172636,101.68560399122,True,0.0,197.93587918934628,0.4069475790895062,0.0542280333719135,0.2400593171296296,0.276290268132716,0.4369261188271605,0.1763123070987654,0.5565831482843867,0.3518759343653549,0.1975320632920407,0.7488000631948684,0.6740320694784141
Jalan Rozario,Jalan Rozario,140730718038253.jpg,3.1291211440279,101.68623336113,True,0.0,227.09898117059316,0.2273719618055555,0.1985855516975308,0.3130576051311728,0.1533713107638888,0.4221996166087963,0.2667971402391975,0.6796920606715332,0.3078827281057099,0.2063960260181682,0.6712057545347629,0.6952800389668413
Jalan Rozario,Jalan Rozario,197285005689564.jpg,3.1294688738458,101.68617981967,True,0.0,211.84058275936735,0.1179234784915123,0.2718408203125,0.1342361111111111,0.2464972149884259,0.1914637285397376,0.3072178638599537,0.7282418053159566,0.2801281467013889,0.2033172479627098,0.6584333412758423,0.6683405964191712
Jalan Rozario,Jalan Rozario,467726724333120.jpg,3.1306749315563,101.68534113649,True,0.0,151.88225056514764,0.1578719376929012,0.1960262345679012,0.2671930459104938,0.321372974537037,0.3461290147569444,0.2433878158757716,0.6174998083770755,0.2969981131847994,0.1704002133476107,0.8184869980182218,0.6256099769942576
Jalan Scott,Jalan Scott,351811673140963.jpg,3.1363572834757,101.69117181444,True,0.0,1054.9389600371073,0.2165229552469136,0.0743289448302469,0.2578733844521604,0.2424086130401234,0.3661348620756172,0.139285831404321,0.7842732779070897,0.2638258584104938,0.1692560497975603,0.7323668776943132,0.5747882469104282
Jalan Scott,Jalan Scott,252710486375809.jpg,3.1358561002983,101.69161533323,True,0.0,1055.0563246798686,0.0842271291473765,0.290479118441358,0.1438158275462963,0.1314324122299383,0.1838872010030864,0.315747257185571,0.6084034325186264,0.2324199731143904,0.1723764070460038,0.6103331071743541,0.5195196620097272
Jalan Scott,Jalan Scott,997734771055743.jpg,3.1355384267985,101.69189369274,True,0.0,1057.5855680355196,0.0805219184027777,0.2689140263310185,0.1677205705054012,0.1668389515817901,0.2079815297067901,0.2930706018518518,0.6912822676841308,0.2330049039110725,0.1755407705393866,0.5168960809814989,0.49508186421519
