jalan_original,jalan_clean,image_name,latitude,longitude,dist_to_functional_centre_m,green_view_index,sky_visibility_index,street_enclosure_index,openness_index,visual_diversity_index,walkability_visual_index,view_quality_score,final_top_view_score
Jalan Berhala,Jalan Berhala,1686737604860611.jpg,3.1286540924568,101.6857311472,202.36478326997408,0.4144315441743826,0.1592892795138888,0.4013794246720679,0.2836187427662037,0.6309684809487813,0.3825385802469135,0.254580751019632,0.7810324831966629
Jalan Berhala,Jalan Berhala,772051373450724.jpg,3.1285142457982,101.68554966015,197.61422490502926,0.4201422646604938,0.0810157455632716,0.3623854648919753,0.2070584249614197,0.54216390910644,0.3633041389371142,0.2098775411306265,0.7497190740508366
Lorong Chan Ah Tong,Jalan Chan Ah Tong,216354356665885.jpg,3.1284119188686,101.68543944606,197.76354227520804,0.3321384307484568,0.0757637683256172,0.3939108916859568,0.1754052975501543,0.6950613082233562,0.3298396387924382,0.1980300903307256,0.691297433699232
Jalan Chan Ah Tong,Jalan Chan Ah Tong,180550900602952.jpg,3.1285663172636,101.68560399122,197.93587918934628,0.4069475790895062,0.0542280333719135,0.4369261188271605,0.1763123070987654,0.5565831482843867,0.3518759343653549,0.1975320632920407,0.6740320694784141
Lorong Chan Ah Tong,Jalan Chan Ah Tong,1734268330688432.jpg,3.1298622,101.6844072,14.526547275141981,0.1778781666666666,0.11621825,0.3543805416666666,0.1695817,0.7321470634120086,0.2589032708333333,0.1620935768451346,0.6353202425226626
Jalan Rozario,Jalan Rozario,140730718038253.jpg,3.1291211440279,101.68623336113,227.09898117059316,0.2273719618055555,0.1985855516975308,0.4221996166087963,0.2667971402391975,0.6796920606715332,0.3078827281057099,0.2063960260181682,0.6952800389668413
Jalan Rozario,Jalan Rozario,197285005689564.jpg,3.1294688738458,101.68617981967,211.84058275936735,0.1179234784915123,0.2718408203125,0.1914637285397376,0.3072178638599537,0.7282418053159566,0.2801281467013889,0.2033172479627098,0.6683405964191712
Jalan Rozario,Jalan Rozario,195068739131932.jpg,3.1303549325016,101.68491168343,92.64219029261696,0.0463346354166666,0.2908224826388889,0.3091229021990741,0.3047228732638888,0.6755750583795356,0.2494165702160493,0.1738454707553871,0.6298813497809144
Jalan Scott,Jalan Scott,351811673140963.jpg,3.1363572834757,101.69117181444,1054.9389600371073,0.2165229552469136,0.0743289448302469,0.3661348620756172,0.139285831404321,0.7842732779070897,0.2638258584104938,0.1692560497975603,0.5747882469104282
Jalan Scott,Jalan Scott,252710486375809.jpg,3.1358561002983,101.69161533323,1055.0563246798686,0.0842271291473765,0.290479118441358,0.1838872010030864,0.315747257185571,0.6084034325186264,0.2324199731143904,0.1723764070460038,0.5195196620097272
