node,x,y,degree,closeness,betweenness,straightness,is_intersection,degree_pct,closeness_pct,betweenness_pct,straightness_pct,composite_score,node_class
28930737,798761.4819326246,346642.12996148417,1,0.001143542373061857,0.0,0.7434803257049968,False,0.10053085600530856,0.9548772395487723,0.11280690112806901,0.40212342402123424,0.4899358548993586,other
10249199819,798755.4701048709,346648.51044947247,3,0.0011551350306663467,0.013635707063411816,0.7549636737375446,True,0.5291970802919708,0.9781021897810219,0.6290643662906437,0.5069674850696748,0.7047113470471134,other
267202655,799633.5403401221,347281.31024248624,3,0.0005317447441255501,0.033605758582502775,0.6517411335634832,True,0.5291970802919708,0.0378234903782349,0.7929661579296616,0.09422694094226941,0.3083388630833886,other
5727698673,799663.6974892197,347319.42068654817,2,0.0005183979421698195,0.002542635658914729,0.6594204984444114,False,0.23059057730590576,0.030524220305242204,0.37093563370935634,0.10683477106834771,0.16943154169431543,other
1585361849,799589.4551675357,347291.2995546122,3,0.0005464872836791276,0.04482494249936111,0.653452260060371,True,0.5291970802919708,0.047113470471134705,0.8447246184472462,0.0948905109489051,0.32890953328909533,other
1585382090,799633.0089709193,347254.4303724771,2,0.0005200041311234764,0.030281284606866004,0.6296677972133407,False,0.23059057730590576,0.03185136031851361,0.7730590577305906,0.07962840079628401,0.2948462729484627,other
310818377,797674.9347376302,345899.4082958558,3,0.0006639697123048042,0.004131157012855699,0.7624489080752279,True,0.5291970802919708,0.1585932315859323,0.42601194426011946,0.6011944260119443,0.39526653395266537,other
11217050514,797661.6299127738,345860.7004347912,3,0.0006481921878456522,0.0033554817275747513,0.7641640340006326,True,0.5291970802919708,0.12475116124751161,0.3988055739880557,0.617120106171201,0.3802256138022561,other
12089814603,797644.9838233147,345880.3656351406,3,0.0006512274087115478,0.0011229235880398673,0.7721977246416417,True,0.5291970802919708,0.1300597213005972,0.3045786330457863,0.7126741871267419,0.38243751382437513,other
1699260892,797728.2479853603,346012.9989327498,3,0.0007221738428871201,0.0077607973421926916,0.7808974241751837,True,0.5291970802919708,0.28798938287989384,0.5189117451891174,0.8035832780358327,0.5368281353682813,other
475483419,798235.5407938692,346137.6534306583,3,0.0010017322344007614,0.022675526024363235,0.7858769326869165,True,0.5291970802919708,0.661579296615793,0.721300597213006,0.836098208360982,0.7396593673965937,minor
1993266962,798254.0995767454,346126.9562455299,3,0.0010129745522152718,0.01969435215946844,0.7933637352462541,True,0.5291970802919708,0.6854678168546782,0.7033842070338421,0.8845388188453882,0.7577969475779694,minor
4769201047,798222.9018353664,346143.1317510688,3,0.0009929259049588654,0.01831672203765227,0.7798280599528726,True,0.5291970802919708,0.6522893165228931,0.6901128069011281,0.79628400796284,0.7128953771289538,other
12943504347,798252.0117860659,346169.1217141534,3,0.0009986182736002908,0.007533417037967089,0.7642884321516301,True,0.5291970802919708,0.6582614465826144,0.5155938951559389,0.6191108161911082,0.5976553859765539,other
475485448,797905.1636814896,345873.6155946634,3,0.0007859886496601089,0.037211524572495255,0.8022867408194437,True,0.5291970802919708,0.37624419376244195,0.814200398142004,0.9389515593895156,0.7097987170979873,other
478496293,797942.1460704328,345939.98142085137,1,0.0007415887713307004,0.0,0.7033304305067369,False,0.10053085600530856,0.33112143331121435,0.11280690112806901,0.19774386197743862,0.21389073213890733,other
4728997731,797878.2500549861,345889.18247515644,2,0.0007758188877238963,0.03696345514950167,0.7954382720047839,False,0.23059057730590576,0.36960849369608495,0.8102189781021898,0.8944923689449237,0.6914399469143994,other
478812140,797944.469199935,345853.4881555675,3,0.0008037470224669515,0.052812846068660026,0.8166737623460569,True,0.5291970802919708,0.39017916390179164,0.880557398805574,0.9953550099535501,0.7553638575536387,minor
475489074,797876.4980054982,345703.9744329169,4,0.0007124607232077901,0.0064828349944629025,0.8066693641983517,True,0.8978102189781022,0.27471798274717985,0.4930325149303251,0.9628400796284008,0.5768635257686352,other
478728910,797958.4682371742,345672.4808488311,3,0.0006706801463858412,0.0046578073089701,0.7427246409751754,True,0.5291970802919708,0.17850033178500332,0.4435965494359655,0.39615129396151294,0.33941605839416056,other
478548535,797894.6583346748,345744.79720081424,3,0.0007351303543682807,0.010124031007751938,0.8058910168917117,True,0.5291970802919708,0.31453218314532183,0.5746516257465163,0.9575315195753152,0.6155717761557178,other
13483434641,797850.9729710757,345637.3945059855,1,0.0006779063933338418,0.0,0.8059560537833368,False,0.10053085600530856,0.192435301924353,0.11280690112806901,0.9588586595885866,0.42136695421366954,other
10774823496,797785.9330903009,345720.99455854215,2,0.0006860471538168153,0.0009457364341085272,0.8032547225575591,False,0.23059057730590576,0.21101526211015262,0.298606502986065,0.9455872594558726,0.4850696748506967,other
475492924,798015.5973383869,345964.50209392543,3,0.0008627958451460886,0.030258113979044213,0.7983038364418228,True,0.5291970802919708,0.45321831453218314,0.7723954877239548,0.9163901791639018,0.7140013271400133,other
478845933,797979.6668568384,345917.45929652697,3,0.0008379863558342876,0.05579844961240311,0.8048348902219074,True,0.5291970802919708,0.43132050431320507,0.8944923689449237,0.9542136695421367,0.7600088476000885,minor
478897853,797942.0299723983,346015.9348775138,3,0.0008537189885858281,0.05015725359911407,0.7989255665794562,True,0.5291970802919708,0.44459190444591906,0.8652952886529529,0.9223623092236231,0.7440831674408317,minor
478860890,798119.3919425012,346093.8910177379,4,0.0009388644454808043,0.046730897009966785,0.786621040410787,True,0.8978102189781022,0.5792966157929662,0.8546781685467817,0.8380889183808892,0.7573545675735457,minor
475499724,797869.6194800772,346332.9762351627,3,0.0007508992378466878,0.00386046511627907,0.7222718395723353,True,0.5291970802919708,0.3477106834771068,0.41008626410086263,0.258792302587923,0.3388630833886308,other
5738263764,797805.0443963734,346382.66135565535,3,0.0007078768324738174,0.002152823920265781,0.7066109650998386,True,0.5291970802919708,0.26542800265428,0.36230922362309226,0.20769741207697412,0.27847821278478213,other
4614279676,797836.5004573994,346291.4401767445,3,0.0007454232274145371,0.008170542635658916,0.7313360319292,True,0.5291970802919708,0.33842070338420704,0.5315195753151958,0.3105507631055076,0.3934970139349701,other
2602507182,797933.0571499006,346349.7034680358,4,0.0007835970708809327,0.009002322248024979,0.722413816030816,True,0.8978102189781022,0.37491705374917056,0.5514266755142667,0.2594558725945587,0.39526653395266537,other
478346603,798041.90032001,346153.1148769314,4,0.0009302709367543799,0.09579401993355482,0.7983819940896635,True,0.8978102189781022,0.5713337757133378,0.9681486396814863,0.9183808891838089,0.8192877681928777,minor
13415814269,798015.5637103372,346173.57412584487,3,0.0009144910418591329,0.054571428571428576,0.7921903925573676,True,0.5291970802919708,0.5408095554080955,0.8898473788984738,0.8732581287325812,0.7679716876797169,minor
4729030096,798080.5302869395,346123.12642504077,3,0.0009176838856653973,0.013891472868217056,0.7739804769314975,True,0.5291970802919708,0.5467816854678168,0.6343729263437292,0.7352355673523556,0.6387967263879673,other
478497682,797988.034209017,346081.9143987571,3,0.0008847264234817584,0.042254706533776304,0.7886665064798611,True,0.5291970802919708,0.48374253483742535,0.8321167883211679,0.8540145985401459,0.7232913072329131,minor
4769200881,798217.8108085282,346250.5098607465,3,0.001017644384882306,0.0816544850498339,0.7779870125740784,True,0.5291970802919708,0.6914399469143995,0.9462508294625083,0.7796947577969475,0.8057951780579518,minor
478350620,797781.753034035,345942.4490157494,3,0.0007594254694415645,0.04067552602436324,0.8028617478479075,True,0.5291970802919708,0.35766423357664234,0.8261446582614466,0.9422694094226941,0.7086927670869277,other
1699277414,797799.7888340484,345979.730492591,3,0.0007737935600685854,0.08348837209302326,0.8035876153804608,True,0.5291970802919708,0.3669542136695421,0.9475779694757797,0.9475779694757797,0.7540367175403672,minor
478730419,797735.2158498314,345819.3371568064,4,0.0006961342576093307,0.009997785160575859,0.7956427544716699,True,0.8978102189781022,0.23490378234903783,0.5726609157266092,0.8958195089581951,0.5677947356779474,other
5740065892,797867.7560761807,345895.3855761401,3,0.0007720052249752135,0.033991488794319936,0.7932985122036819,True,0.5291970802919708,0.36429993364299934,0.79628400796284,0.8812209688122097,0.6806016368060165,other
478351170,797869.7058883953,345894.1180184305,2,0.0007727283683325767,0.03660908084163898,0.7937435802518555,False,0.23059057730590576,0.3662906436629064,0.8082282680822827,0.8858659588586596,0.6867949568679496,other
478351671,798218.7550198007,345563.28654326434,3,0.0007221918017847502,0.02046733111849391,0.8074471843776817,True,0.5291970802919708,0.28865295288652953,0.710019907100199,0.9674850696748507,0.6553859765538598,other
7258995878,798223.3117168227,345569.162915702,3,0.0007260142248173002,0.0210874861572536,0.8078694964532032,True,0.5291970802919708,0.2959522229595222,0.7140013271400133,0.9727936297279363,0.6609157266091573,other
1700918552,798207.5888445773,345549.55889288604,2,0.0007130891231843683,0.00132890365448505,0.8059035008875999,False,0.23059057730590576,0.27604512276045123,0.3171864631718646,0.9581950895819509,0.5171422251714223,other
1770971375,798058.3207991796,345555.4078336804,3,0.0006401939984432703,0.014564784053156147,0.7384102360437206,True,0.5291970802919708,0.1108161911081619,0.6433311214333112,0.35766423357664234,0.3706038487060385,other
478415762,798336.7724388244,346338.2210630983,3,0.001101570713145369,0.019904761904761908,0.7977495867637844,True,0.5291970802919708,0.8533510285335103,0.7053749170537492,0.9130723291307233,0.8239327582393275,major
4608979747,798332.570762539,346345.7680829185,3,0.001096966124378564,0.019652270210409748,0.7947668756356818,True,0.5291970802919708,0.8414067684140677,0.7020570670205707,0.8891838088918381,0.8108825481088254,minor
4608979735,798341.8923658791,346328.2751675692,4,0.0011111760883830675,0.11340642303433002,0.805762379773871,True,0.8978102189781022,0.887193098871931,0.9854014598540146,0.9568679495686795,0.9431541694315416,major
4608981709,798336.6503830848,346329.41256766475,4,0.0011077613740574398,0.10070653377630123,0.8046969279536567,True,0.8978102189781022,0.8765759787657598,0.9754479097544791,0.9528865295288653,0.9349701393497014,major
478423963,798237.6436371112,345615.1104608092,3,0.0007461925099997434,0.015286821705426359,0.7982755542799304,True,0.5291970802919708,0.3404114134041141,0.6575978765759788,0.9157266091572661,0.6379119663791197,other
7259022250,798247.8495828502,345604.1152368746,4,0.0007439221100385917,0.014261351052048728,0.8037968982894871,True,0.8978102189781022,0.3357664233576642,0.6390179163901791,0.948905109489051,0.6412298164122981,other
